"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","机器人管理","编辑机器人","0","0","10","0","0"
"","机器人配置","机器人阈值范围保存","0","0","12","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--相似性判断--标准问题","3","0","6","0","0"
"","机器人配置","机器人关联问题查询","0","0","6","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--模糊查询分页数据","0","0","12","0","0"
"","机器人管理","机器人详情","0","0","6","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--批量修改分类","0","0","7","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--删除","0","0","3","0","0"
"","机器人管理","登录机器人","0","0","7","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--保存","0","0","12","0","0"
"","机器人配置","机器人暖场语保存","0","0","13","0","0"
"","机器人配置","机器人转人工设置保存","0","0","22","0","0"
"","预置回答问答对配置信息","预置回答问答对配置信息--根据分类和模板Id查询问题分页数据","1","0","7","0","0"
"","机器人配置","机器人未知问题回复查询","0","0","7","0","0"
"","机器人配置","机器人阈值范围查询","0","0","6","0","0"
"","机器人管理","开启/停用机器人","0","0","8","0","0"
"","常规问答问答对分类信息","常规问答问答对分类信息--保存","2","0","8","0","0"
"","机器人配置","机器人暖场语查询","0","0","7","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--批量修改状态","0","0","9","0","0"
"","机器人配置","机器人猜你想问保存","0","0","12","0","0"
"","机器人配置","机器人欢迎语保存","0","0","18","0","0"
"","机器人配置","机器人高级设置保存","0","0","18","0","0"
"","机器人管理","删除机器人","0","0","6","0","0"
"","机器人配置","机器人高级设置查询","0","0","6","0","0"
"","机器人管理","查询机器人","0","0","6","0","0"
"","机器人配置","机器人热点问题保存","0","0","12","0","0"
"","预置回答问答对配置信息","预置回答问答对配置信息--根据ID查询","1","0","5","0","0"
"","预置回答问答对配置信息","预置问答问答对分类信息--查询","0","0","6","0","0"
"","机器人管理","新增机器人","0","0","12","0","0"
"","机器人配置","机器人访客端查询","0","0","6","0","0"
"","机器人配置","机器人引导语查询","0","0","7","0","0"
"","预置回答问答对配置信息","预置回答问答对配置信息--根据分类和模板Id，模糊查询问题/答案分页数据","0","0","8","0","0"
"","常规问答问答对分类信息","常规问答问答对分类信息--查询","0","0","7","0","0"
"","常规问答问答对配置信息","常规问答问答对配置信息--根据分类和机器人Id查询问题分页数据","0","0","9","0","0"
"","机器人配置","机器人转人工设置查询","0","0","6","0","0"
"","机器人配置","机器人访客端保存","0","0","17","0","0"
"","机器人配置","机器人关联问题保存","0","0","13","0","0"
"","预置回答问答对配置信息","预置问答问答对配置信息--引用","0","0","4","0","0"
"","机器人配置","机器人引导语保存","0","0","14","0","0"
"","机器人配置","机器人未知问题语保存","0","0","12","0","0"
"","常规问答问答对分类信息","常规问答问答对分类信息--修改排序","0","0","6","0","0"
"","机器人配置","机器人猜你想问查询","0","0","6","0","0"
"","机器人配置","机器人热点问题查询","0","0","6","0","0"
"","机器人管理","上传机器人头像","0","0","1","0","0"
"","常规问答问答对分类信息","常规问答问答对分类信息--删除","0","0","3","0","0"
"","机器人管理","机器人模板列表","0","0","1","0","0"
"","机器人配置","机器人欢迎语查询","0","0","7","0","0"
